pdf_company_name,entity_name,normalized_name,address,postcode,address_source,lat,lon,coord_precision
SAIF TRANSPORT LIMITED,SAIF TRANSPORT LIMITED,SAIF TRANSPORT LIMITED,"22 Prosser Street, Elsdon, Porirua, 5240, NEW ZEALAND",5240,address_for_service,-41.1383,174.8402,original
ASB Bank Limited,ASB BANK LIMITED,ASB BANK LIMITED,"Level 2, Asb North Wharf, 12 Jellicoe Street, Auckland, 1010, NEW ZEALAND",1010,public_address,-36.84137565868,174.757469256761,address_web
Ronson Transport Limited,RONSON TRANSPORT LIMITED,RONSON TRANSPORT LIMITED,"94 Pepene Avenue, Takanini, Takanini, 2112, NEW ZEALAND",2112,address_for_service,-37.04172506325,174.903903955083,address_web
Liquip Sales (Nz) Limited,LIQUIP SALES (NZ) LIMITED,LIQUIP SALES NZ LIMITED,"90 Sydney Street, Petone, Lower Hutt, 5012, NEW ZEALAND",5012,public_address,-41.221848950359,174.877468438296,address_web
THAI ON LUNN LIMITED,THAI ON LUNN LIMITED,THAI ON LUNN LIMITED,"2 Percy Winston Lane, Stonefields, Auckland, 1072, NEW ZEALAND",1072,address_for_service,-36.888957208436,174.834410182589,address_web
Franklin Smith Limited,FRANKLIN SMITH LIMITED,FRANKLIN SMITH LIMITED,"Level 16, 51 Shortland Street, Auckland, 1010, NEW ZEALAND",1010,address_for_service,-36.847109341457,174.76823405119,address_web
Akshar Limited,AKSHAR LIMITED,AKSHAR LIMITED,"209 Beach Haven Road, Beach Haven, Auckland, 0626, NEW ZEALAND",0626,public_address,-36.789514309163,174.694914610449,address_web
PETROMONT FISHING COMPANY LIMITED,PETROMONT FISHING COMPANY LIMITED,PETROMONT FISHING COMPANY LIMITED,"Level 3, 16 College Hill, Freemans Bay, Auckland, 1011, NEW ZEALAND",1011,address_for_service,-36.848559745983,174.749746003537,address_web
iFix Nz Limited,IFIX NZ LIMITED,IFIX NZ LIMITED,"179 Symonds Street, Eden Terrace, Auckland, 1010, NEW ZEALAND",1010,address_for_service,-36.862891333579,174.761016645823,address_web
KAD Saini Limited,KAD SAINI LIMITED,KAD SAINI LIMITED,"13 Treloar Crescent, Hobsonville, Auckland, 0616, NEW ZEALAND",0616,address_for_service,-36.8023508586,174.670842874176,original
